StartX,StartY,EndX,EndY
82.415,-9.500,82.415,9.500
81.914,-9.500,81.914,9.500
81.413,-9.500,81.413,9.500
80.912,-9.500,80.912,9.500
80.411,-9.500,80.411,9.500
79.910,-9.500,79.910,9.500
79.409,-9.500,79.409,9.500
78.908,-9.500,78.908,9.500
78.407,-9.500,78.407,9.500
77.906,-9.500,77.906,9.500
77.405,-9.500,77.405,9.500
76.904,-9.500,76.904,9.500
76.403,-9.500,76.403,9.500
75.902,-9.500,75.902,9.500
75.401,-9.500,75.401,9.500
74.900,-9.500,74.900,9.500
74.399,-9.500,74.399,9.500
73.898,-9.500,73.898,9.500
73.397,-9.500,73.397,9.500
72.896,-9.500,72.896,9.500
72.395,-9.500,72.395,9.500
71.894,-9.500,71.894,9.500
71.393,-9.500,71.393,9.500
70.892,-9.500,70.892,9.500
70.391,-9.500,70.391,9.500
69.890,-9.500,69.890,9.500
69.389,-9.500,69.389,9.500
68.888,-9.500,68.888,9.500
68.387,-9.500,68.387,9.500
67.886,-9.500,67.886,9.500
67.385,-9.500,67.385,9.500
66.884,-9.500,66.884,9.500
66.383,-9.500,66.383,9.500
65.882,-9.500,65.882,9.500
65.381,-9.500,65.381,9.500
64.880,-9.500,64.880,9.500
64.379,-9.500,64.379,9.500
63.878,-9.500,63.878,9.500
63.377,-9.500,63.377,9.500
62.876,-9.500,62.876,9.500
62.375,-9.500,62.375,9.500
61.874,-9.500,61.874,9.500
61.373,-9.500,61.373,9.500
60.872,-9.500,60.872,9.500
60.371,-9.500,60.371,9.500
59.870,-9.500,59.870,9.500
59.369,-9.500,59.369,9.500
58.868,-9.500,58.868,9.500
58.367,-9.500,58.367,9.500
57.866,-9.500,57.866,9.500
57.365,-9.500,57.365,9.500
56.864,-9.500,56.864,9.500
56.363,-9.500,56.363,9.500
55.862,-9.500,55.862,9.500
55.361,-9.500,55.361,9.500
54.860,-9.500,54.860,9.500
54.359,-9.500,54.359,9.500
53.858,-9.500,53.858,9.500
53.357,-9.500,53.357,9.500
52.856,-9.500,52.856,9.500
52.355,-9.500,52.355,9.500
51.854,-9.500,51.854,9.500
51.353,-9.500,51.353,9.500
50.852,-9.500,50.852,9.500
50.351,-9.500,50.351,9.500
49.850,-9.500,49.850,9.500
49.349,-9.417,49.349,9.417
48.848,-9.276,48.848,9.276
48.347,-9.139,48.347,9.139
47.846,-9.005,47.846,9.005
47.345,-8.874,47.345,8.874
46.844,-8.749,46.844,8.749
46.343,-8.624,46.343,8.624
45.842,-8.507,45.842,8.507
45.341,-8.390,45.341,8.390
44.840,-8.279,44.840,8.279
44.339,-8.170,44.339,8.170
43.838,-8.066,43.838,8.066
43.337,-7.964,43.337,7.964
42.836,-7.866,42.836,7.866
42.335,-7.772,42.335,7.772
41.834,-7.680,41.834,7.680
41.333,-7.593,41.333,7.593
40.832,-7.507,40.832,7.507
40.331,-7.429,40.331,7.429
39.830,-7.350,39.830,7.350
39.329,-7.277,39.329,7.277
38.828,-7.206,38.828,7.206
38.327,-7.140,38.327,7.140
37.826,-7.076,37.826,7.076
37.325,-7.015,37.325,7.015
36.824,-6.959,36.824,6.959
36.323,-6.904,36.323,6.904
35.822,-6.856,35.822,6.856
35.321,-6.807,35.321,6.807
34.820,-6.765,34.820,6.765
34.319,-6.724,34.319,6.724
33.818,-6.688,33.818,6.688
33.317,-6.655,33.317,6.655
32.816,-6.624,32.816,6.624
32.315,-6.598,32.315,6.598
31.814,-6.573,31.814,6.573
31.313,-6.554,31.313,6.554
