StartX,StartY,EndX,EndY
53.732,2.998,54.000,3.266
53.020,2.993,54.000,3.973
52.299,2.979,54.000,4.680
51.573,2.960,54.000,5.387
50.838,2.933,54.000,6.094
50.096,2.897,54.000,6.802
49.348,2.856,54.000,7.509
48.590,2.806,54.000,8.216
47.824,2.746,54.000,8.923
47.050,2.680,54.000,9.630
46.268,2.605,54.000,10.337
45.474,2.518,54.000,11.044
44.672,2.424,54.000,11.751
43.862,2.321,54.000,12.458
43.038,2.204,54.000,13.165
42.204,2.077,54.000,13.873
41.360,1.940,54.000,14.580
40.505,1.792,54.000,15.287
39.635,1.629,54.000,15.994
38.751,1.452,53.304,16.005
37.855,1.263,52.606,16.014
36.945,1.060,51.915,16.030
36.019,0.841,51.230,16.053
35.077,0.606,50.550,16.079
34.115,0.351,49.877,16.114
33.134,0.078,49.209,16.153
32.349,0.000,48.546,16.197
31.642,0.000,47.890,16.248
30.935,0.000,47.237,16.302
30.228,0.000,46.592,16.364
29.521,0.000,45.950,16.429
28.814,0.000,45.314,16.500
28.107,0.000,44.682,16.575
27.399,0.000,44.054,16.655
26.692,0.000,43.433,16.740
25.985,0.000,42.814,16.828
25.278,0.000,42.202,16.924
24.571,0.000,41.591,17.020
23.864,0.000,40.988,17.124
23.157,0.000,40.387,17.230
22.450,0.000,39.792,17.342
21.743,0.000,39.199,17.457
21.036,0.000,38.612,17.576
20.328,0.000,38.028,17.699
19.621,0.000,37.447,17.826
18.914,0.000,36.872,17.957
18.207,0.000,36.299,18.091
17.500,0.000,35.731,18.231
16.793,0.000,35.165,18.372
16.086,0.000,34.605,18.519
15.379,0.000,34.046,18.667
14.672,0.000,33.493,18.821
13.964,0.000,32.941,18.977
13.257,0.000,32.257,19.000
12.550,0.000,31.550,19.000
11.843,0.000,30.843,19.000
11.136,0.000,30.136,19.000
10.429,0.000,29.429,19.000
9.722,0.000,28.722,19.000
9.015,0.000,28.015,19.000
8.308,0.000,27.308,19.000
7.601,0.000,26.601,19.000
6.893,0.000,25.893,19.000
6.186,0.000,25.186,19.000
5.479,0.000,24.479,19.000
4.772,0.000,23.772,19.000
4.065,0.000,23.065,19.000
3.358,0.000,22.358,19.000
2.651,0.000,21.651,19.000
1.944,0.000,20.944,19.000
1.237,0.000,20.237,19.000
0.529,0.000,19.529,19.000
0.000,0.178,18.822,19.000
0.000,0.885,18.115,19.000
0.000,1.592,17.408,19.000
0.000,2.299,16.701,19.000
0.000,3.006,15.994,19.000
0.000,3.713,15.287,19.000
0.000,4.420,14.580,19.000
0.000,5.127,13.873,19.000
0.000,5.835,13.165,19.000
0.000,6.542,12.458,19.000
0.000,7.249,11.751,19.000
0.000,7.956,11.044,19.000
0.000,8.663,10.337,19.000
0.000,9.370,9.630,19.000
0.000,10.077,8.923,19.000
0.000,10.784,8.216,19.000
0.000,11.491,7.509,19.000
0.000,12.198,6.802,19.000
0.000,12.906,6.094,19.000
0.000,13.613,5.387,19.000
0.000,14.320,4.680,19.000
0.000,15.027,3.973,19.000
0.000,15.734,3.266,19.000
0.000,16.441,2.559,19.000
0.000,17.148,1.852,19.000
0.000,17.855,1.145,19.000
0.000,18.562,0.438,19.000
110.750,3.000,110.750,16.000
110.250,3.000,110.250,16.000
109.750,3.000,109.750,16.000
109.250,3.000,109.250,16.000
108.750,3.000,108.750,16.000
108.250,3.000,108.250,16.000
107.750,3.000,107.750,16.000
107.250,3.000,107.250,16.000
106.750,3.000,106.750,16.000
106.250,3.000,106.250,16.000
105.750,3.000,105.750,16.000
105.250,3.000,105.250,16.000
104.750,3.000,104.750,16.000
104.250,3.000,104.250,16.000
103.750,3.000,103.750,16.000
103.250,3.000,103.250,16.000
102.750,3.000,102.750,16.000
102.250,3.000,102.250,16.000
101.750,3.000,101.750,16.000
101.250,3.000,101.250,16.000
100.750,3.000,100.750,16.000
100.250,3.000,100.250,16.000
99.750,3.000,99.750,16.000
99.250,3.000,99.250,16.000
98.750,3.000,98.750,16.000
98.250,3.000,98.250,16.000
97.750,3.000,97.750,16.000
97.250,3.000,97.250,16.000
96.750,3.000,96.750,16.000
96.250,3.000,96.250,16.000
95.750,3.000,95.750,16.000
95.250,3.000,95.250,16.000
